column_or_row_name,unit,definition,measured_variable,material_measured,column_or_row_long_name,data_type,missing_value_code,unit_basis,representation_temporal,statistic_measurement,statistic_measurement_number,statistic_spatial,statistic_spatial_number,statistic_temporal,statistic_temporal_number,statistic_detail,notes
sample_name,N/A,"Collector's project-specific sample name, which must be unique for each sample within the dataset that you are submitting.",N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
common_method_id,N/A,"User-defined identifier that indicates what methods are relevant to the entire row of data (i.e., sample).",N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
common_flag,N/A,User-defined identifier that indicates a flag for the entire row of data.,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
treatment_id,N/A,"User-defined identifier that indicates what treatment was used for manipulation experiments, if applicable.",N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
{measurement_column_name}_method_id,N/A,User-defined identifier that indicates what methods were used for the individual measurement in the corresponding measurement_column_name.,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
{measurement_column_name}_flag,N/A,User-defined identifier that indicates a flag for the individual measurement in the corresponding measurement_column_name.,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
time_elapsed,second,"Cumulative time elapsed, to known specificity, between the first measurement and the current measurement, on a single sample.",N/A,N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
datetime_measured,N/A,"Date and time of measurement, to known specificity.",N/A,N/A,N/A,datetime,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
notes,N/A,Free text notes field.,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
attr_id,N/A,"Attribute identifier associated with either a method ID, flag, or treatment ID.",N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
attr_type,N/A,Attribute identifier type,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
attr_description,N/A,Description of the attribute identifier provided within the attr_id field. The description should hold enough detail to pass peer review in a journal article methods section.,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
analysis_detection_limit,,"Detection limit associated with the analysis (i.e., the lowest / smallest quantity that can be measured), in the units of the reported measurement",N/A,N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
analysis_precision,,"Precision associated with the analysis (i.e., how close repeated measures are to each other), in the units of the reported measurement",N/A,N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
instrument_precision,,"Precision of the instrument/sensor (i.e., the smallest difference between measurements that the instrument can resolve), in the units of the reported measurement",N/A,N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lower_bound,,"Lower bound of expected data values, in the units of the reported measurement",N/A,N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
upper_bound,,"Upper bound of expected data values, in the units of the reported measurement",N/A,N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_instrument,N/A,"Instrument specifications (e.g., type; model; manufacturer; manufacturing location)",N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_reference,N/A,Citation or link to published method description,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_hold_time,N/A,"Hold time for the method, including the units",N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_temp,N/A,Temperature at which method was carried out,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_light,N/A,Light conditions for the method,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_atmosphere,N/A,Atmosphere for the method,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_moisture,N/A,Moisture conditions of sample exposed to method,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_medium,N/A,Medium used for the method (e.g. extractions; dilutions; nutrient media for incubations).,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_time,N/A,Time span for method (e.g. incubation time; storage time; extraction time),N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_lab_contact,N/A,Contact details for the laboratory where the method was performed.,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_instrument_operator,N/A,Name of the instrument operator,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
method_lab,N/A,Name of the laboratory where the method was performed,N/A,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
